id method score error
0 baselineTailRecursiveTry 36.49293876858872 0.5625126195774126
1 warmParsleyChainL 398.9192890680235 8.681039260672636
2 baselineRecursiveDecent 441.54018193948457 2.987514256678666
3 coldFastParseRightRecursive 1349.3521539346725 9.650844539226947
4 warmFastParseBindFoldTuple2 1514.4312181842647 52.66800962282203
5 coldFastParseBindFoldTuple2 1563.4331314650785 9.916291789706124
6 warmFastParseBindFoldCurried 1605.140620261751 55.980864548934946
7 coldFastParseBindFoldCurried 1632.1595124513453 10.495120493990864
8 warmFastParseRightRecursive 1665.7378488591526 298.6005919379721
9 coldParsleyChainL 2855.7464890600068 96.45677417899917
10 warmScalaParserCombinatorChainL 4346.535690991217 30.465274626260967
11 coldScalaParserCombinatorChainL 4397.873769066629 245.29547547130008
12 coldAttoChainL 6354.600642710416 58.99205416726752
13 warmAttoChainL 6497.5038973216415 240.2052177793213
14 warmFastParseBindRecursiveTuple2 8273.282508844693 77.91488396086437
15 warmFastParseBindRecursiveCurried 8716.539386395418 517.109149757412
16 coldFastParseBindRecursiveCurried 8909.769654874712 210.07329382204716
17 coldFastParseBindRecursiveTuple2 9991.933664363509 76.52190951413078
18 warmParsecForScalaChainL 17084.08605537395 560.6537039001188
19 coldParsecForScalaChainL 18377.47706872355 1133.922123022721
20 warmMeerkatBnf 53107.932077180456 359.0860074336607
21 coldMeerkatBnf 56796.947311048476 536.712640175932
